date,hosp,vent,,,,,,,,,,,,,
3/6/20,1,,,,,,,,,,,,,,
3/7/20,1,,,,,,,,,,,,,,
3/8/20,1,,,,,,,,,,,,,,
3/9/20,2,,,,,,,,,,,,,,
3/10/20,2,,,,,,,,,,,,,,
3/11/20,2,,,,,,,,,,,,,,
3/12/20,2,,,,,,,,,,,,,,
3/13/20,2,,,,,,,,,,,,,,
3/14/20,2,1,,,,,,,,,,,,,
3/15/20,2,1,,,,,,,,,,,,,
3/16/20,2,1,,,,,,,,,,,,,
3/17/20,4,1,,,,,,,,,,,,,
3/18/20,4,1,,,,,,,,,,,,,
3/19/20,4,1,,,,,,,,,,,,,
3/20/20,7,2,,,,,,,,,,,,,
3/21/20,6,2,,,,,,,,,,,,,
3/22/20,8,4,,,,,,,,,,,,,
3/23/20,13,4,,,,,,,,,,,,,
3/24/20,13,5,,,,,,,,,,,,,
3/25/20,15,8,,,,,,,,,,,,,
3/26/20,25,9,,,,,,,,,,,,,
3/27/20,32,16,,,,,,,,,,,,,
3/28/20,41,17,,,,,,,,,,,,,
3/29/20,54,19,,,,,,,,,,,,,
3/30/20,69,26,,,,,,,,,,,,,
3/31/20,93,29,,,,,,,,,,,,,
4/1/20,116,38,,,,,,,,,,,,,
4/2/20,150,48,,,,,,,,,,,,,
4/3/20,157,52,,,,,,,,,,,,,
4/4/20,155,61,,,,,,,,,,,,,
4/5/20,165,67,,,,,,,,,,,,,
4/6/20,177,66,,,,,,,,,,,,,
4/7/20,184,68,,,,,,,,,,,,,
4/8/20,181,75,,,,,,,,,,,,,
4/9/20,191,74,,,,,,,,,,,,,
4/10/20,185,76,,,,,,,,,,,,,
4/11/20,179,80,,,,,,,,,,,,,
4/12/20,186,77,,,,,,,,,,,,,
4/13/20,188,79,,,,,,,,,,,,,
4/14/20,193,81,,,,,,,,,,,,,
4/15/20,201,85,,,,,,,,,,,,,
4/16/20,211,80,,,,,,,,,,,,,
4/17/20,219,81,,,,,,,,,,,,,
4/18/20,219,78,,,,,,,,,,,,,
4/19/20,225,80,,,,,,,,,,,,,
4/20/20,231,80,,,,,,,,,,,,,
4/21/20,229,81,,,,,,,,,,,,,
4/22/20,222,79,,,,,,,,,,,,,
4/23/20,222,75,,,,,,,,,,,,,
4/24/20,222,68,,,,,,,,,,,,,
4/25/20,214,70,,,,,,,,,,,,,
4/26/20,211,67,,,,,,,,,,,,,
4/27/20,217,69,,,,,,,,,,,,,
4/28/20,209,61,,,,,,,,,,,,,
4/29/20,205,58,,,,,,,,,,,,,
4/30/20,190,57,,,,,,,,,,,,,
5/1/20,186,59,,,,,,,,,,,,,
5/2/20,179,54,,,,,,,,,,,,,
5/3/20,180,48,,,,,,,,,,,,,
5/4/20,183,48,,,,,,,,,,,,,
5/5/20,178,48,,,,,,,,,,,,,
5/6/20,174,48,,,,,,,,,,,,,
5/7/20,156,45,,,,,,,,,,,,,
5/8/20,157,45,,,,,,,,,,,,,
5/9/20,150,45,,,,,,,,,,,,,
5/10/20,151,40,,,,,,,,,,,,,
5/11/20,142,41,,,,,,,,,,,,,
5/12/20,144,40,,,,,,,,,,,,,
5/13/20,138,45,,,,,,,,,,,,,
5/14/20,135,44,,,,,,,,,,,,,
5/15/20,142,46,,,,,,,,,,,,,
5/16/20,140,43,,,,,,,,,,,,,
5/17/20,140,42,,,,,,,,,,,,,
5/18/20,146,41,,,,,,,,,,,,,
5/19/20,143,43,,,,,,,,,,,,,
5/20/20,135,44,,,,,,,,,,,,,
5/21/20,125,38,,,,,,,,,,,,,
5/22/20,122,34,,,,,,,,,,,,,
5/23/20,121,34,,,,,,,,,,,,,
5/24/20,118,35,,,,,,,,,,,,,
5/25/20,113,39,,,,,,,,,,,,,
5/26/20,119,36,,,,,,,,,,,,,
5/27/20,118,34,,,,,,,,,,,,,
5/28/20,108,25,,,,,,,,,,,,,