date,hosp,vent,mort
3/16/20,1,,
3/17/20,1,,
3/18/20,1,,
3/19/20,1,,
3/20/20,1,,
3/21/20,2,,
3/22/20,2,,
3/23/20,1,,
3/24/20,1,,
3/25/20,1,,
3/26/20,4,,
3/27/20,4,,
3/28/20,2,1,
3/29/20,12,0,
3/30/20,14,2,
3/31/20,20,6,
4/1/20,26,6,
4/2/20,27,6,
4/3/20,25,6,
4/4/20,26,7,
4/5/20,26,6,
4/6/20,31,10,
4/7/20,35,12,
4/8/20,41,12,
4/9/20,42,8,
4/10/20,39,8,
4/11/20,38,8,
4/12/20,40,8,
4/13/20,39,9,
4/14/20,39,8,
4/15/20,38,6,
4/16/20,29,6,
4/17/20,30,7,
4/18/20,32,6,
4/19/20,33,4,
4/20/20,35,3,
4/21/20,38,4,
4/22/20,40,7,
4/23/20,40,10,
4/24/20,42,9,
4/25/20,48,9,
4/26/20,56,8,
4/27/20,54,9,
4/28/20,55,6,
4/29/20,48,6,
4/30/20,45,5,
5/1/20,47,6,
5/2/20,47,3,
5/3/20,42,3,
5/4/20,44,3,
5/5/20,48,5,
5/6/20,43,6,
5/7/20,45,6,
5/8/20,47,6,
5/9/20,43,8,
5/10/20,47,8,
5/11/20,47,8,
5/12/20,49,6,
5/13/20,45,6,
5/14/20,44,6,
5/15/20,47,6,
5/16/20,44,6,
5/17/20,44,6,
5/18/20,39,7,